player_id,player_name,team,position,goals_pg,assists_pg,sot_pg,shots_pg,cards_pg,minutes_pg,rating_pg,saves_pg,games_used,player_career_avg_quality
152967,C. Bassey,Fulham,D,0.0,0.0,0.0,0.0,0.0,90.0,7.04,0.0,5.0,1.0
2920,T. Castagne,Fulham,D,0.0,0.0,0.2,0.4,0.2,88.6,7.2,0.0,5.0,1.0
131,Jorge Cuenca,Fulham,D,0.0,0.0,0.0,0.2,0.2,71.8,6.58,0.0,5.0,1.0
657,K. Tete,Fulham,D,0.0,0.0,0.0,0.0,0.2,88.4,6.8,0.0,5.0,1.0
384981,S. Amissah,Fulham,D,,,,,,,,,,
237819,Kevin,Fulham,F,0.0,0.0,0.0,0.5,0.0,52.5,6.45,0.0,2.0,1.0
436443,J. Kusi-Asare,Fulham,F,0.0,0.0,0.0,0.0,0.0,13.0,6.7,0.0,1.0,1.0
195106,Rodrigo Muniz,Fulham,F,0.0,0.0,0.2,0.8,0.2,54.0,6.52,0.0,5.0,1.0
1438,B. Leno,Fulham,G,0.0,0.0,0.0,0.0,0.0,90.0,7.06,2.8,5.0,1.0
21566,B. Lecomte,Fulham,G,,,,,,,,,,
19025,T. Cairney,Fulham,M,0.2,0.0,0.2,0.6,0.0,45.0,7.24,0.0,5.0,1.0
19032,R. Sessegnon,Fulham,M,0.2,0.0,0.2,0.4,0.0,45.6,7.02,0.0,5.0,1.0
1934,S. Berge,Fulham,M,0.0,0.0,0.0,0.6,0.0,81.0,6.98,0.0,5.0,1.0
278133,Oscar Bobb,Fulham,M,0.0,0.0,0.2,0.4,0.0,43.8,6.94,0.0,5.0,1.0
1455,A. Iwobi,Fulham,M,0.0,0.0,0.8,1.4,0.2,76.0,7.12,0.0,5.0,1.0
389315,Joshua King,Fulham,M,0.0,0.0,0.2,0.4,0.2,19.0,6.76,0.0,5.0,1.0
2823,S. Lukić,Fulham,M,0.0,0.0,0.6,0.8,0.6,90.0,6.68,0.0,5.0,1.0
19480,H. Reed,Fulham,M,0.0,0.0,0.4,0.6,0.0,22.6,6.72,0.0,5.0,1.0
1161,E. Smith Rowe,Fulham,M,0.0,0.0,0.4,0.6,0.0,70.0,6.62,0.0,5.0,1.0
19093,J. Egan,Hull City,D,0.0,0.0,0.2,0.2,0.4,78.8,6.24,0.0,5.0,1.0
18747,R. Giles,Hull City,D,0.0,0.0,0.2,0.2,0.0,45.2,6.66,0.0,5.0,1.0
2769,S. Ajayi,Hull City,D,,,,,,,,,,
20073,L. Coyle,Hull City,D,,,,,,,,,,
